	log2FoldChange	padj	significance
CGGC5_243	10.7084705928422	5.67335139398287e-162	UP
CGGC5_6803	7.52621548439613	3.69904817232886e-90	UP
CGGC5_7542	8.39394868775496	1.22091930507386e-89	UP
CGGC5_11496	8.71685466381538	3.34452003578103e-80	UP
CGGC5_463	6.24536730731051	2.84136757430112e-73	UP
CGGC5_3465	11.4543484597572	1.72733824890889e-72	UP
CGGC5_9585	11.7154390066527	2.43256328210328e-67	UP
CGGC5_14888	7.48893527074104	3.01476382991237e-62	UP
CGGC5_4385	7.45745282212478	1.40425942046064e-60	UP
CGGC5_1983	11.8459679443128	2.53426691159181e-60	UP
CGGC5_3120	4.37844229159747	3.31410060339224e-60	UP
CGGC5_14435	9.99572960858165	1.77359872717662e-58	UP
CGGC5_4217	6.14476559712555	2.29602717236902e-56	UP
CGGC5_7011	6.86226073245954	1.25919200641539e-55	UP
CGGC5_7984	5.41280362769277	1.51330890462279e-54	UP
CGGC5_3799	7.1789329049138	3.04114091015846e-48	UP
CGGC5_9626	7.14590015586591	3.18598019665777e-48	UP
CGGC5_11380	6.89289906027156	4.47666793654223e-48	UP
CGGC5_4289	9.61812388516004	5.02801517143977e-48	UP
CGGC5_1361	6.1957782582855	3.87597492951586e-46	UP
CGGC5_1801	11.9911767982042	1.64436710123462e-45	UP
CGGC5_480	10.6567312194101	2.71739437741586e-45	UP
CGGC5_6197	9.99721843959475	4.41958361486431e-45	UP
CGGC5_8825	8.88620364700797	4.41958361486431e-45	UP
CGGC5_4717	3.10859148339063	6.09853673491637e-45	UP
CGGC5_7375	8.09639353577511	1.38018738376946e-44	UP
CGGC5_13478	6.21479968311401	3.41335453563827e-44	UP
CGGC5_10961	11.0337654863116	8.86190864467749e-44	UP
CGGC5_12868	5.99052216752569	2.44761066164575e-43	UP
CGGC5_7766	4.4727376434651	1.63539280068407e-42	UP
CGGC5_12833	8.48745321293419	9.39144089308177e-42	UP
CGGC5_14354	6.37125232358799	3.51595125036117e-41	UP
CGGC5_2018	7.56452828520106	8.18441665597264e-40	UP
CGGC5_14926	6.73080252386016	1.42710349988825e-39	UP
CGGC5_13538	6.56348584320752	2.89002713937452e-39	UP
CGGC5_8104	7.67494154145188	2.58130242580026e-38	UP
CGGC5_2706	7.22151989127301	4.21887368066887e-38	UP
CGGC5_9042	10.9914005288915	4.83203874291258e-38	UP
CGGC5_7396	7.37579605838053	8.31653557119291e-38	UP
CGGC5_14220	6.29630138029341	1.50344510540089e-37	UP
CGGC5_103	6.28166661022	5.08674926309045e-36	UP
CGGC5_13161	4.80127234479827	5.08674926309045e-36	UP
CGGC5_11494	15.530260345292	5.3155474525566e-36	UP
CGGC5_1828	7.2063038383919	5.40331016405726e-36	UP
CGGC5_1052	4.31539971681426	7.02919990361718e-36	UP
CGGC5_8396	5.52454940203543	3.23377671570744e-35	UP
CGGC5_13639	9.01494384170868	1.36642974828659e-34	UP
CGGC5_3464	6.89836274564993	1.9452648859283e-34	UP
CGGC5_11687	8.56612616632638	1.95230995253964e-34	UP
CGGC5_8122	5.35651920143805	6.04036311344849e-34	UP
CGGC5_9071	9.32559035754459	6.48594501027798e-34	UP
CGGC5_4704	4.39003592733465	1.83899959582703e-33	UP
CGGC5_8249	2.29031170935766	1.92597915466525e-33	UP
CGGC5_10954	4.66332557474344	1.50687942430245e-32	UP
CGGC5_2650	7.618523095276	9.05043736515836e-32	UP
CGGC5_14437	6.66148243684442	4.86675955822642e-31	UP
CGGC5_12545	5.78795313546533	1.16225033050088e-30	UP
CGGC5_9306	7.16831627860367	2.10906520583313e-30	UP
CGGC5_12578	10.8833077036644	3.77059529219187e-30	UP
CGGC5_7603	7.6248068997877	6.91421241858488e-30	UP
CGGC5_14683	15.2279264932777	1.56013430784249e-29	UP
CGGC5_5645	6.50636999098568	1.77014132426245e-29	UP
CGGC5_13097	-3.46577094022137	2.61763166374475e-29	DOWN
CGGC5_14202	6.66827793048988	3.67522678237438e-29	UP
CGGC5_9766	12.0315864004063	4.68052151065171e-29	UP
CGGC5_3353	15.2010038856326	5.23286932394805e-29	UP
CGGC5_597	8.04745135933326	2.7006352507054e-28	UP
CGGC5_4590	10.6872614107832	1.0456449965713e-27	UP
CGGC5_11981	9.81605301639865	1.11216160006886e-27	UP
CGGC5_8511	8.09196129406553	1.70311374733621e-27	UP
CGGC5_11727	8.99219706680573	1.70311374733621e-27	UP
CGGC5_14455	9.29252378910412	3.23060005110136e-27	UP
CGGC5_5508	-2.17140835770623	8.43317132279147e-27	DOWN
CGGC5_7039	13.8303240925454	8.68379598789504e-27	UP
CGGC5_6743	7.72655506218842	1.13597908100922e-26	UP
CGGC5_6122	10.3775038638811	1.2792003219893e-26	UP
CGGC5_8316	4.55607508677192	1.92142719928317e-26	UP
CGGC5_5568	4.38870551239454	2.47149721571841e-26	UP
CGGC5_10384	5.83339324514645	2.56212892815584e-26	UP
CGGC5_12893	7.23702529328953	2.6029373317568e-26	UP
CGGC5_15191	4.95491126898501	5.57101796715209e-26	UP
CGGC5_8113	7.8223443459473	7.7451804360192e-26	UP
