	log2FoldChange	padj	significance
CGGC5_243	10.7910409006234	2.02132252024771e-162	UP
CGGC5_7542	9.24689490161873	3.83419793733327e-124	UP
CGGC5_11496	9.76246316743434	2.89358410907987e-109	UP
CGGC5_3465	12.094661566258	5.07466783876707e-82	UP
CGGC5_13478	7.56044295833125	6.066971589765e-82	UP
CGGC5_9585	12.3067207738876	2.12403612290367e-74	UP
CGGC5_12868	6.80901176495601	3.96392528530534e-73	UP
CGGC5_9626	8.33248405611715	1.22002757306131e-68	UP
CGGC5_4385	7.92346576271069	6.32708101458846e-68	UP
CGGC5_14888	7.58958989695358	6.77014289133032e-68	UP
CGGC5_1983	12.4060356976986	1.80232310352619e-66	UP
CGGC5_6644	7.23876365846375	4.2081165810513e-63	UP
CGGC5_7603	9.45738939777023	4.29909014306493e-62	UP
CGGC5_4289	10.5516951587514	1.6993943749812e-58	UP
CGGC5_8758	8.37629431286013	2.04229491405778e-58	UP
CGGC5_13538	7.45651816324636	3.47506250901108e-52	UP
CGGC5_14435	9.56725302231658	2.27893819168393e-50	UP
CGGC5_10961	11.6257807952652	2.41440709106382e-48	UP
CGGC5_1801	12.3448368140642	3.1669399489181e-48	UP
CGGC5_13625	6.24095689896071	1.79913740651394e-47	UP
CGGC5_6743	9.31818340730502	2.08399287642081e-46	UP
CGGC5_10384	7.24558299287899	1.89324513884665e-43	UP
CGGC5_11981	11.6309139651987	3.38089055533795e-41	UP
CGGC5_14455	10.6292847258997	5.03766284763662e-41	UP
CGGC5_6197	9.70788066324062	1.64773002582678e-40	UP
CGGC5_11881	3.20756013913138	5.81819427519322e-39	UP
CGGC5_3401	7.26697619413259	4.83117899649444e-38	UP
CGGC5_1361	5.8549309263613	1.259505118882e-37	UP
CGGC5_597	9.19223413318112	1.33582655950196e-37	UP
CGGC5_3464	7.25137136463214	2.03818926535476e-37	UP
CGGC5_12833	8.27640634844805	2.09298773631135e-37	UP
CGGC5_11494	15.725634286025	8.11987343130703e-37	UP
CGGC5_8975	7.44964616593692	1.11404492753498e-36	UP
CGGC5_9042	10.9145095337362	1.12997939420361e-36	UP
CGGC5_2706	7.10660993152475	6.95857728350325e-36	UP
CGGC5_12675	6.58169849491715	9.16958729671783e-36	UP
CGGC5_9071	9.55086676450192	9.36069450541501e-35	UP
CGGC5_13733	7.93372867438698	2.18165168467508e-34	UP
CGGC5_14039	12.1532687015583	2.58752306709023e-34	UP
CGGC5_10696	7.47635721222926	1.79162620182685e-33	UP
CGGC5_13097	-2.3968920525927	1.7918021844854e-33	DOWN
CGGC5_13946	10.6703900387937	2.93706980157983e-33	UP
CGGC5_2018	7.17446735167877	9.31789984301229e-33	UP
CGGC5_480	9.54720183640174	9.40036469960764e-33	UP
CGGC5_10170	4.42357415181279	5.48256359337331e-32	UP
CGGC5_13492	6.75724007035419	6.82201477521304e-32	UP
CGGC5_8237	6.82136405273729	9.25744475864094e-32	UP
CGGC5_14683	15.8143859639819	9.25744475864094e-32	UP
CGGC5_3799	6.36647430933585	1.07009929614941e-31	UP
CGGC5_14354	5.87945182219712	4.13075042559508e-31	UP
CGGC5_9346	8.6631931960985	6.84911787792914e-31	UP
CGGC5_4775	4.03292537534175	7.88658822122021e-31	UP
CGGC5_8268	5.79697088762195	1.45051950980536e-30	UP
CGGC5_4590	11.2376385423562	1.61802040441647e-30	UP
CGGC5_10954	4.53640013190405	2.59002299225211e-30	UP
CGGC5_1052	4.07148377584937	2.08173160328531e-29	UP
CGGC5_14220	5.8821192285405	2.45826005488957e-29	UP
CGGC5_9766	12.1436425709114	3.44693272220703e-29	UP
CGGC5_13406	7.44970058302212	4.14192920265379e-29	UP
CGGC5_8104	7.06996488352578	5.82496177279456e-29	UP
CGGC5_15117	5.12941998612547	6.46325401263777e-29	UP
CGGC5_5508	-2.04756746390844	7.49297733724073e-29	DOWN
CGGC5_6005	8.40349435357514	2.05959694911348e-28	UP
CGGC5_8396	5.18165698476873	3.38687334497737e-28	UP
CGGC5_5645	6.47201157900428	3.95823469206327e-28	UP
CGGC5_1301	7.3005407070296	2.38280114184674e-27	UP
CGGC5_11495	14.1026040320672	3.10481592333497e-27	UP
CGGC5_6554	14.4002335759017	3.54085209488637e-27	UP
CGGC5_6966	3.10975449936841	4.16504301377575e-27	UP
CGGC5_12108	7.12396143453106	6.09873486550688e-27	UP
CGGC5_6122	10.5224488736029	6.29031830681322e-27	UP
CGGC5_1293	6.41502282030686	1.72626345619313e-26	UP
CGGC5_3400	6.85687395504412	5.26738676495398e-26	UP
CGGC5_6896	4.26636019765778	9.52102635738388e-26	UP
CGGC5_1154	8.73206103975564	1.60210498004227e-25	UP
CGGC5_321	3.8908455236148	1.60834359831251e-25	UP
CGGC5_11282	6.54283374170126	1.61196314102838e-25	UP
CGGC5_7746	8.75243584523157	2.16051606525763e-25	UP
CGGC5_10962	11.1153681003005	4.15050733721395e-25	UP
CGGC5_13227	4.65864689697157	9.31261485204095e-25	UP
CGGC5_10167	-3.7970279970115	1.16673402163732e-24	DOWN
CGGC5_9349	13.7236296308566	2.57271839714313e-24	UP
CGGC5_12497	5.32451085889461	2.62056138724218e-24	UP
CGGC5_8118	3.60270513872616	4.79979994675441e-24	UP
CGGC5_6057	6.82089576841395	5.99215214339267e-24	UP
CGGC5_8825	6.74041857338201	8.47049170447654e-24	UP
CGGC5_8316	4.43133761591714	1.6869727458673e-23	UP
CGGC5_12214	4.60456710767738	3.80222654130085e-23	UP
CGGC5_4704	3.8788268877582	5.64520029215852e-23	UP
CGGC5_1828	6.23299620585239	1.08877045959347e-22	UP
CGGC5_4777	5.97390484492849	1.4933939234698e-22	UP
CGGC5_14680	6.49655456497594	1.89219578434546e-22	UP
CGGC5_2746	4.09934329587685	2.10501754119424e-22	UP
CGGC5_3503	5.91614722757855	2.83608720990174e-22	UP
CGGC5_7680	13.896911383774	3.14069044540834e-22	UP
CGGC5_6154	8.57005197525876	3.16073448359852e-22	UP
CGGC5_2158	6.6623407652836	4.77508371618312e-22	UP
CGGC5_9623	7.46468815756892	4.89073207466463e-22	UP
CGGC5_5568	4.16123747793167	5.71981450219364e-22	UP
CGGC5_6146	-3.87327250802532	1.03837322401194e-21	DOWN
CGGC5_7324	9.91118137807929	1.07886738830872e-21	UP
CGGC5_8584	7.10790085943862	1.45173941265258e-21	UP
CGGC5_11380	5.55971829128897	1.4892171614828e-21	UP
CGGC5_1802	12.5426310612965	1.97260822572989e-21	UP
CGGC5_11099	6.62607832364645	1.97729486337552e-21	UP
CGGC5_13726	-3.79746481943889	3.11716522910452e-21	DOWN
CGGC5_14989	13.1809756511866	3.36775899296737e-21	UP
CGGC5_7631	2.64637037241372	5.40857944268245e-21	UP
CGGC5_9248	7.65259415552339	5.47679321959334e-21	UP
CGGC5_11286	6.09366373869125	1.26556025441748e-20	UP
CGGC5_11486	-6.28123987086471	1.63668751979282e-20	DOWN
CGGC5_12368	-3.88122080549391	1.66127741667019e-20	DOWN
CGGC5_2390	2.64632431400198	2.05646308433083e-20	UP
CGGC5_4719	9.40521627277637	2.44787093602126e-20	UP
CGGC5_14453	11.8390495471916	2.58560044922312e-20	UP
CGGC5_12822	9.47997502215979	2.60340531151735e-20	UP
CGGC5_4192	7.11218858497238	2.68230487933429e-20	UP
CGGC5_1755	7.30965725309708	2.98155718114372e-20	UP
CGGC5_7310	5.16832346474569	4.97148477659667e-20	UP
CGGC5_1574	8.03462798379483	2.35381677176663e-19	UP
CGGC5_3871	4.8144502550458	3.07522588812448e-19	UP
CGGC5_4039	9.27634462735442	4.44338687955686e-19	UP
CGGC5_7895	4.06247888153567	4.63351899865028e-19	UP
CGGC5_10946	7.32397287846388	5.44766890343101e-19	UP
CGGC5_6909	6.69725273963051	9.66638163351903e-19	UP
CGGC5_1753	3.29617791657358	1.28550022325666e-18	UP
CGGC5_4503	11.938191326008	1.41102909206836e-18	UP
CGGC5_7275	5.0116629805177	1.69941168817604e-18	UP
CGGC5_2300	2.95272633096727	1.73947019284147e-18	UP
CGGC5_1221	5.83877284238988	2.21730508886194e-18	UP
CGGC5_2709	4.32557285059167	4.74319360468286e-18	UP
CGGC5_2747	7.0953315205443	5.9351151810448e-18	UP
CGGC5_163	-3.08763811890235	7.25196094718923e-18	DOWN
CGGC5_975	4.85983024462538	1.20576848296252e-17	UP
CGGC5_7591	12.1009734485212	1.21810016212812e-17	UP
CGGC5_10390	10.4615901229411	1.22865223863813e-17	UP
CGGC5_8476	11.2744168940455	1.35232792492342e-17	UP
CGGC5_7722	6.47157888541794	1.3542851060323e-17	UP
CGGC5_14363	12.2052309704884	1.61294849124732e-17	UP
CGGC5_1091	2.63728226077952	2.84051036464909e-17	UP
CGGC5_3964	3.64139468344767	3.07373377466597e-17	UP
CGGC5_9667	4.87812200964845	3.15657947384758e-17	UP
CGGC5_7445	3.70680084822044	3.35236489002542e-17	UP
CGGC5_12482	4.20981757380301	3.35331946998411e-17	UP
CGGC5_12624	7.90349558121489	3.67029317458625e-17	UP
CGGC5_14467	3.47066427327438	4.19655607435715e-17	UP
CGGC5_14474	7.24802059139809	4.57247812024661e-17	UP
CGGC5_7978	7.07797074366989	4.57247812024661e-17	UP
CGGC5_474	-5.33406134578281	6.20389551240122e-17	DOWN
CGGC5_13330	3.42016356246793	6.31075860189239e-17	UP
CGGC5_8925	6.35633863376341	7.17619216259518e-17	UP
CGGC5_8590	4.07191508425747	7.36184136274293e-17	UP
CGGC5_3794	5.27171334507108	9.11458343317433e-17	UP
CGGC5_2680	4.73793204987221	1.18780682962015e-16	UP
CGGC5_14437	5.46668006327138	1.54562909916307e-16	UP
CGGC5_898	9.71520853696405	2.12074346970695e-16	UP
CGGC5_7927	-5.32610025552601	2.27095558489664e-16	DOWN
CGGC5_9306	5.99679369641942	2.29166831565996e-16	UP
CGGC5_4033	7.68385425778649	2.52669900798421e-16	UP
CGGC5_695	4.84228881896478	2.71248410027075e-16	UP
CGGC5_8895	4.91902474374125	4.06056755153743e-16	UP
CGGC5_11588	7.66669351047754	4.26987338898677e-16	UP
CGGC5_11745	1.99989947450174	5.26846330485797e-16	NOT
CGGC5_7414	13.2093566544593	5.68362910997688e-16	UP
CGGC5_7630	-5.9834281852931	9.34557178239978e-16	DOWN
CGGC5_12251	10.8754587694465	1.10684190024484e-15	UP
CGGC5_8644	4.52384702632799	1.12264474668364e-15	UP
CGGC5_6447	12.884726993629	1.31302204798536e-15	UP
CGGC5_12513	5.06056160626948	1.3704576251411e-15	UP
CGGC5_13926	5.03059386168742	1.66857408343182e-15	UP
CGGC5_11453	11.9908090656124	1.86458523591797e-15	UP
CGGC5_4145	2.90646182359317	2.22012517325773e-15	UP
CGGC5_3881	6.71505286433057	2.27583134927785e-15	UP
CGGC5_704	4.32757549072099	2.4302318288916e-15	UP
CGGC5_13952	5.71779500082033	2.66303083101567e-15	UP
CGGC5_838	-3.92956055949963	2.75803829645768e-15	DOWN
CGGC5_13798	4.68218641449051	3.21328410538507e-15	UP
CGGC5_908	3.83014592055508	3.44205776626711e-15	UP
CGGC5_1031	5.19285575522419	3.56887412951936e-15	UP
CGGC5_12545	4.57277008592002	3.74172957958727e-15	UP
CGGC5_1468	4.52899494590892	3.76296750060656e-15	UP
CGGC5_4936	9.56689927769478	4.09955088295567e-15	UP
CGGC5_5857	-2.51560267778602	4.22372254347023e-15	DOWN
CGGC5_279	4.49823499046536	6.91814009530595e-15	UP
CGGC5_8771	4.37834175950544	7.955771738201e-15	UP
CGGC5_3353	11.2411995977627	8.203512426323e-15	UP
CGGC5_6176	5.08260186814324	8.3227995471799e-15	UP
CGGC5_2146	3.70176609174483	8.96372081993937e-15	UP
CGGC5_742	13.4123125613876	9.34835162878418e-15	UP
CGGC5_13624	7.05612630505151	1.45961504940071e-14	UP
CGGC5_7499	5.08877349089476	1.45961504940071e-14	UP
CGGC5_4073	6.74368476596097	1.58820113868424e-14	UP
CGGC5_4836	5.54448208994842	1.72878572516073e-14	UP
CGGC5_6890	4.17545487492546	1.94004326983984e-14	UP
CGGC5_7313	3.82732461604646	1.94004326983984e-14	UP
CGGC5_4638	7.32150324521014	2.26933693014122e-14	UP
CGGC5_7618	6.23712362588648	2.71208942680048e-14	UP
CGGC5_14253	4.24102042103018	2.86417339142882e-14	UP
CGGC5_2349	3.76648574209084	3.07155586159722e-14	UP
CGGC5_8970	10.3006160331606	3.43599429763e-14	UP
CGGC5_6617	5.02144034638471	3.86112240959092e-14	UP
CGGC5_9415	-2.92685033717567	4.11939649546052e-14	DOWN
